! Reaction's Kinematics:  Alab & Alab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle of  10C [Lab-deg]	Y	
12.717417	12.3847   	
12.682164	12.3332   	
12.646697	12.2815   	
12.611015	12.2299   	
12.575119	12.1782   	
12.539008	12.1265   	
12.502682	12.0747   	
12.466143	12.0229   	
12.429389	11.9711   	
12.392420	11.9193   	
12.355238	11.8674   	
12.317842	11.8155   	
12.280231	11.7635   	
12.242407	11.7115   	
12.204369	11.6595   	
12.166117	11.6075   	
12.127652	11.5554   	
12.088974	11.5033   	
12.050082	11.4511   	
12.010977	11.3989   	
11.971659	11.3467   	
11.932128	11.2945   	
11.892385	11.2422   	
11.852429	11.1899   	
11.812261	11.1376   	
11.771881	11.0852   	
11.731289	11.0328   	
11.690486	10.9804   	
11.649471	10.9279   	
11.608244	10.8755   	
11.566807	10.8229   	
11.525158	10.7704   	
11.483300	10.7178   	
11.441231	10.6652   	
11.398951	10.6126   	
11.356462	10.5599   	
11.313764	10.5073   	
11.270856	10.4545   	
11.227739	10.4018   	
11.184414	10.349    	
11.140880	10.2962   	
11.097138	10.2434   	
11.053189	10.1905   	
11.009032	10.1377   	
10.964668	10.0848   	
10.920097	10.0318   	
10.875320	9.97886   	
10.830337	9.92587   	
10.785148	9.87286   	
10.739754	9.81982   	
10.694155	9.76675   	
10.648352	9.71366   	
10.602345	9.66054   	
10.556134	9.6074    	
10.509719	9.55423   	
10.463102	9.50103   	
10.416282	9.44782   	
10.369261	9.39457   	
10.322038	9.3413    	
10.274614	9.28801   	
10.226990	9.2347    	
10.179165	9.18135   	
10.131141	9.12799   	
10.082917	9.0746    	
10.034496	9.02119   	
9.985876	8.96775   	
9.937058	8.91429   	
9.888044	8.86081   	
9.838833	8.80731   	
9.789426	8.75378   	
9.739824	8.70023   	
9.690027	8.64665   	
9.640036	8.59306   	
9.589852	8.53944   	
9.539474	8.4858    	
9.488904	8.43214   	
9.438142	8.37846   	
9.387189	8.32475   	
9.336046	8.27103   	
9.284712	8.21728   	
9.233189	8.16351   	
9.181478	8.10972   	
9.129579	8.05591   	
9.077493	8.00208   	
9.025220	7.94823   	
8.972761	7.89436   	
8.920118	7.84047   	
8.867289	7.78656   	
8.814278	7.73263   	
8.761083	7.67868   	
8.707706	7.62471   	
8.654147	7.57072   	
8.600408	7.51671   	
8.546489	7.46268   	
8.492391	7.40864   	
8.438115	7.35457   	
8.383661	7.30049   	
8.329030	7.24639   	
8.274224	7.19227   	
8.219242	7.13813   	
8.164086	7.08397   	
8.108757	7.0298    	
8.053255	6.97561   	
7.997582	6.9214    	
7.941738	6.86717   	
7.885724	6.81293   	
7.829541	6.75867   	
7.773190	6.70439   	
7.716672	6.6501    	
7.659987	6.59579   	
7.603137	6.54146   	
7.546123	6.48712   	
7.488946	6.43276   	
7.431606	6.37838   	
7.374104	6.32399   	
7.316442	6.26958   	
7.258620	6.21516   	
7.200640	6.16072   	
7.142503	6.10627   	
7.084208	6.0518    	
7.025759	5.99732   	
6.967155	5.94282   	
6.908397	5.88831   	
6.849488	5.83378   	
6.790426	5.77924   	
6.731215	5.72468   	
6.671855	5.67011   	
6.612346	5.61553   	
6.552691	5.56093   	
6.492889	5.50632   	
6.432943	5.4517    	
6.372854	5.39706   	
6.312621	5.34241   	
6.252248	5.28774   	
6.191734	5.23307   	
6.131081	5.17838   	
6.070291	5.12367   	
6.009363	5.06896   	
5.948301	5.01423   	
5.887103	4.95949   	
5.825773	4.90474   	
5.764311	4.84997   	
5.702718	4.7952    	
5.640996	4.74041   	
5.579145	4.68561   	
5.517167	4.6308    	
5.455064	4.57598   	
5.392836	4.52115   	
5.330485	4.4663    	
5.268012	4.41145   	
5.205418	4.35658   	
5.142705	4.30171   	
5.079874	4.24682   	
5.016926	4.19192   	
4.953863	4.13702   	
4.890685	4.0821    	
4.827395	4.02717   	
4.763993	3.97224   	
4.700481	3.91729   	
4.636860	3.86234   	
4.573131	3.80737   	
4.509297	3.7524    	
4.445358	3.69741   	
4.381315	3.64242   	
4.317171	3.58742   	
4.252926	3.53241   	
4.188582	3.47739   	
4.124140	3.42237   	
4.059602	3.36733   	
3.994968	3.31229   	
3.930242	3.25724   	
3.865423	3.20218   	
3.800513	3.14712   	
3.735515	3.09204   	
3.670428	3.03696   	
3.605255	2.98188   	
3.539998	2.92678   	
3.474657	2.87168   	
3.409234	2.81657   	
3.343731	2.76145   	
3.278148	2.70633   	
3.212489	2.6512    	
3.146753	2.59607   	
3.080943	2.54092   	
3.015060	2.48578   	
2.949105	2.43062   	
2.883081	2.37546   	
2.816988	2.3203    	
